pedido_id,restaurante,actor,estado,tiempo_relativo
Ped-L-001,DockerPizza,Restaurante,Recibido,0
Ped-L-002,DockerPizza,Restaurante,Recibido,0
Ped-L-001,DockerPizza,Restaurante,Preparando,1
Ped-L-003,DockerPizza,Restaurante,Recibido,1
Ped-L-002,DockerPizza,Restaurante,Preparando,2
Ped-L-003,DockerPizza,Restaurante,Preparando,2
Ped-L-004,GopherTacos,Restaurante,Recibido,2
Ped-L-002,DockerPizza,Restaurante,Cancelado,3
Ped-L-005,GopherTacos,Restaurante,Recibido,3
Ped-L-001,DockerPizza,Repartidor,En Camino,4
Ped-L-004,GopherTacos,Restaurante,Preparando,4
Ped-L-003,DockerPizza,Repartidor,En Camino,5
Ped-L-004,GopherTacos,Repartidor,En Camino,5
Ped-L-005,GopherTacos,Restaurante,Preparando,5
Ped-L-006,BurgerNode,Restaurante,Recibido,5
Ped-L-003,DockerPizza,Repartidor,Entregado,6
Ped-L-004,GopherTacos,Repartidor,Entregado,6
Ped-L-007,DockerPizza,Restaurante,Recibido,6
Ped-L-008,GopherTacos,Restaurante,Recibido,6
Ped-L-009,BurgerNode,Restaurante,Recibido,6
Ped-L-010,DockerPizza,Restaurante,Recibido,6
Ped-L-001,DockerPizza,Repartidor,Entregado,7
Ped-L-006,BurgerNode,Restaurante,Preparando,7
Ped-L-007,DockerPizza,Restaurante,Preparando,7
Ped-L-009,BurgerNode,Restaurante,Preparando,7
Ped-L-010,DockerPizza,Restaurante,Preparando,7
Ped-L-011,SushiStream,Restaurante,Recibido,7
Ped-L-005,GopherTacos,Repartidor,En Camino,8
Ped-L-006,BurgerNode,Restaurante,Cancelado,8
Ped-L-008,GopherTacos,Restaurante,Preparando,8
Ped-L-012,GopherTacos,Restaurante,Recibido,8
Ped-L-013,BurgerNode,Restaurante,Recibido,8
Ped-L-005,GopherTacos,Repartidor,Entregado,9
Ped-L-007,DockerPizza,Repartidor,En Camino,9
Ped-L-009,BurgerNode,Repartidor,En Camino,9
Ped-L-010,DockerPizza,Repartidor,En Camino,9
Ped-L-011,SushiStream,Restaurante,Preparando,9
Ped-L-012,GopherTacos,Restaurante,Preparando,9
Ped-L-013,BurgerNode,Restaurante,Preparando,9
Ped-L-007,DockerPizza,Repartidor,Entregado,10
Ped-L-010,DockerPizza,Repartidor,Entregado,10
Ped-L-012,GopherTacos,Repartidor,En Camino,10
Ped-L-014,DockerPizza,Restaurante,Recibido,10
Ped-L-015,BurgerNode,Restaurante,Recibido,10
Ped-L-008,GopherTacos,Repartidor,En Camino,11
Ped-L-009,BurgerNode,Repartidor,Entregado,11
Ped-L-011,SushiStream,Repartidor,En Camino,11
Ped-L-014,DockerPizza,Restaurante,Preparando,11
Ped-L-016,BurgerNode,Restaurante,Recibido,11
Ped-L-017,SushiStream,Restaurante,Recibido,11
Ped-L-008,GopherTacos,Repartidor,Entregado,12
Ped-L-013,BurgerNode,Repartidor,En Camino,12
Ped-L-014,DockerPizza,Restaurante,Cancelado,12
Ped-L-015,BurgerNode,Restaurante,Preparando,12
Ped-L-012,GopherTacos,Repartidor,Entregado,13
Ped-L-015,BurgerNode,Repartidor,En Camino,13
Ped-L-018,SushiStream,Restaurante,Recibido,13
Ped-L-011,SushiStream,Repartidor,Entregado,14
Ped-L-013,BurgerNode,Repartidor,Entregado,14
Ped-L-016,BurgerNode,Restaurante,Preparando,14
Ped-L-017,SushiStream,Restaurante,Preparando,14
Ped-L-019,BurgerNode,Restaurante,Recibido,15
Ped-L-020,DockerPizza,Restaurante,Recibido,15
Ped-L-015,BurgerNode,Repartidor,Entregado,16
Ped-L-018,SushiStream,Restaurante,Preparando,16
Ped-L-016,BurgerNode,Repartidor,En Camino,17
Ped-L-017,SushiStream,Repartidor,En Camino,17
Ped-L-020,DockerPizza,Restaurante,Preparando,17
Ped-L-021,SushiStream,Restaurante,Recibido,17
Ped-L-018,SushiStream,Repartidor,En Camino,18
Ped-L-019,BurgerNode,Restaurante,Preparando,18
Ped-L-020,DockerPizza,Repartidor,En Camino,18
Ped-L-017,SushiStream,Repartidor,Entregado,19
Ped-L-019,BurgerNode,Restaurante,Cancelado,19
Ped-L-020,DockerPizza,Repartidor,Entregado,19
Ped-L-022,BurgerNode,Restaurante,Recibido,19
Ped-L-023,SushiStream,Restaurante,Recibido,19
Ped-L-024,SushiStream,Restaurante,Recibido,19
Ped-L-016,BurgerNode,Repartidor,Entregado,20
Ped-L-018,SushiStream,Repartidor,Entregado,20
Ped-L-021,SushiStream,Restaurante,Preparando,20
Ped-L-025,SushiStream,Restaurante,Recibido,20
Ped-L-022,BurgerNode,Restaurante,Preparando,21
Ped-L-025,SushiStream,Restaurante,Preparando,21
Ped-L-026,SushiStream,Restaurante,Recibido,21
Ped-L-021,SushiStream,Repartidor,En Camino,22
Ped-L-023,SushiStream,Restaurante,Preparando,22
Ped-L-024,SushiStream,Restaurante,Preparando,22
Ped-L-025,SushiStream,Repartidor,En Camino,22
Ped-L-026,SushiStream,Restaurante,Preparando,22
Ped-L-027,DockerPizza,Restaurante,Recibido,23
Ped-L-022,BurgerNode,Repartidor,En Camino,24
Ped-L-024,SushiStream,Repartidor,En Camino,24
Ped-L-021,SushiStream,Repartidor,Entregado,25
Ped-L-022,BurgerNode,Repartidor,Entregado,25
Ped-L-023,SushiStream,Restaurante,Cancelado,25
Ped-L-024,SushiStream,Repartidor,Entregado,25
Ped-L-025,SushiStream,Repartidor,Entregado,25
Ped-L-026,SushiStream,Restaurante,Cancelado,25
Ped-L-028,BurgerNode,Restaurante,Recibido,25
Ped-L-029,SushiStream,Restaurante,Recibido,25
Ped-L-030,SushiStream,Restaurante,Recibido,25
Ped-L-027,DockerPizza,Restaurante,Preparando,26
Ped-L-028,BurgerNode,Restaurante,Preparando,26
Ped-L-029,SushiStream,Restaurante,Preparando,27
Ped-L-030,SushiStream,Restaurante,Preparando,27
Ped-L-031,BurgerNode,Restaurante,Recibido,27
Ped-L-032,DockerPizza,Restaurante,Recibido,27
Ped-L-027,DockerPizza,Repartidor,En Camino,28
Ped-L-029,SushiStream,Repartidor,En Camino,28
Ped-L-030,SushiStream,Repartidor,En Camino,28
Ped-L-033,SushiStream,Restaurante,Recibido,28
Ped-L-034,DockerPizza,Restaurante,Recibido,28
Ped-L-028,BurgerNode,Restaurante,Cancelado,29
Ped-L-029,SushiStream,Repartidor,Entregado,29
Ped-L-031,BurgerNode,Restaurante,Preparando,29
Ped-L-032,DockerPizza,Restaurante,Preparando,29
Ped-L-035,DockerPizza,Restaurante,Recibido,29
Ped-L-032,DockerPizza,Repartidor,En Camino,30
Ped-L-034,DockerPizza,Restaurante,Preparando,30
Ped-L-036,BurgerNode,Restaurante,Recibido,30
Ped-L-027,DockerPizza,Repartidor,Entregado,31
Ped-L-030,SushiStream,Repartidor,Entregado,31
Ped-L-032,DockerPizza,Repartidor,Entregado,31
Ped-L-033,SushiStream,Restaurante,Preparando,31
Ped-L-034,DockerPizza,Repartidor,En Camino,31
Ped-L-035,DockerPizza,Restaurante,Preparando,31
Ped-L-037,SushiStream,Restaurante,Recibido,31
Ped-L-031,BurgerNode,Repartidor,En Camino,32
Ped-L-036,BurgerNode,Restaurante,Preparando,32
Ped-L-038,BurgerNode,Restaurante,Recibido,32
Ped-L-034,DockerPizza,Repartidor,Entregado,33
Ped-L-035,DockerPizza,Repartidor,En Camino,33
Ped-L-038,BurgerNode,Restaurante,Preparando,33
Ped-L-039,BurgerNode,Restaurante,Recibido,33
Ped-L-033,SushiStream,Repartidor,En Camino,34
Ped-L-035,DockerPizza,Repartidor,Entregado,34
Ped-L-036,BurgerNode,Repartidor,En Camino,34
Ped-L-037,SushiStream,Restaurante,Preparando,34
Ped-L-031,BurgerNode,Repartidor,Entregado,35
Ped-L-033,SushiStream,Repartidor,Entregado,35
Ped-L-036,BurgerNode,Repartidor,Entregado,35
